ACE2	ASH1	HCM1	STB1	SWI5	WHI5	YHP1	YOX1
526.1310512	550.9329327	440.3021518	302.7391169	248.6902399	523.2833936	231.9923077	356.5215734
558.7166719	515.1763231	454.9688061	413.1383947	294.2107695	392.0458442	300.964793	359.2008088
451.2681587	823.6860787	899.6685434	363.4149853	245.6189976	579.8450163	243.7356039	327.5859116
493.2782828	745.4113888	840.3149775	412.0947871	304.4892816	481.1349494	262.0871084	370.4493771
414.7134934	1230.732215	982.7585388	467.9581075	288.6148927	644.3671292	275.8022977	934.006401
583.4558825	1017.635491	1141.335602	546.3275126	332.2716572	589.0572306	332.4521109	1016.804784
417.8857089	1275.168649	2402.323783	687.4323895	277.7779302	935.1654327	568.163989	3613.110597
539.4696293	1186.148614	1867.65539	761.8371765	280.8526031	800.4700223	629.1891951	3807.952738
585.1562459	975.1269085	3077.897668	772.1490475	438.8996704	1246.220504	841.1486447	4303.18144
629.8958527	1012.520547	2951.095469	873.4462748	421.806189	1005.848486	884.36576	4752.981119
1201.177103	683.697373	2293.59954	495.1432376	1537.175363	1388.986534	1037.664779	2639.051634
1532.961299	717.3217447	2273.60253	728.7220472	1220.23674	1043.176622	1240.192548	3309.839867
2183.027163	1629.583421	1652.728944	373.6952116	2945.283779	1181.278575	1070.371596	1222.648554
2093.053382	1499.579351	1370.017116	446.0634806	2524.930859	897.0300364	1164.135993	1398.932221
2016.687169	6265.801634	848.6849904	364.688379	2860.499456	868.1034947	718.6830929	855.0139963
2083.328838	5251.565106	1197.423429	423.5077846	2770.617656	849.3707301	825.6314094	996.9831091
1242.273246	7312.423112	1154.264047	464.4279476	1721.07174	754.8433568	517.3017824	1630.820645
1437.670062	6363.124778	1274.324935	521.668939	1525.669638	734.2376952	572.4946599	1972.003383
836.8962575	5012.397158	1897.697886	511.1322191	872.6140029	993.0299878	536.1394238	1878.479474
868.0759108	4845.071722	1678.325257	566.6621895	868.9911588	814.9239704	610.0008547	2426.177497
951.4543493	2766.973094	1706.693273	492.8773994	1000.347099	1167.878301	678.7490975	2072.076212
922.9315058	2314.49592	1404.752581	552.6145019	935.2062965	920.9046684	827.0922251	2355.912691
1251.218156	2009.871325	1650.991472	451.1573664	1660.428587	955.1332368	771.1254116	1854.129478
1317.524292	1949.066653	1564.514772	549.3737085	1352.571299	936.3666033	872.2829066	2397.018861
1448.752109	3814.007231	1644.969138	452.1746472	1723.508152	1008.524923	751.6968571	1792.627268
1448.620508	3764.281635	1604.529061	459.0463383	1762.10276	1015.402835	759.7472082	1963.684098
1259.408901	4197.719693	1545.825433	415.5290722	1655.508872	951.9395785	673.2427662	1668.460412
1398.764333	4716.011449	1227.557978	520.2254033	1573.723468	945.8864897	663.9557394	2012.425608
1285.295097	3697.758389	1709.174686	470.3002771	1553.666028	954.6480124	710.556593	1681.325932
1247.258351	4398.805978	1280.122635	501.4223542	1558.16168	894.9049343	663.3896614	2034.952734
